Rok,Województwo,Populacja,Specjalność komórki,Liczba porad AOS,Liczba porad AOS/1 tys. mieszk.,Liczba poradni AOS,Liczba poradni AOS/10 tys. mieszk.
2022,kujawsko-pomorskie,2006876,poradnia reumatologiczna,90894,45.29,36,0.18
2022,kujawsko-pomorskie,2006876,poradnia reumatologiczna dla dzieci,2214,1.1,1,0
2022,kujawsko-pomorskie,2006876,poradnia transplantologiczna,2977,1.48,1,0
2022,kujawsko-pomorskie,2006876,poradnia transplantologiczna dla dzieci,384,0.19,1,0
2022,kujawsko-pomorskie,2006876,poradnia urologiczna,183272,91.32,48,0.24
2022,kujawsko-pomorskie,2006876,poradnia urologiczna dla dzieci,4256,2.12,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia wad postawy,11913,5.94,5,0.02
2022,kujawsko-pomorskie,2006876,poradnia wad serca,5554,2.77,1,0
2022,kujawsko-pomorskie,2006876,poradnia zaopatrzenia ortopedycznego,1220,0.61,1,0
2022,kujawsko-pomorskie,2006876,pracownia endoskopii,45377,22.61,44,0.22
2022,kujawsko-pomorskie,2006876,pracownia lub zakład medycyny nuklearnej,5383,2.68,5,0.02
2022,kujawsko-pomorskie,2006876,pracownia rentgenodiagnostyki ogólnej,3382,1.69,1,0
2022,kujawsko-pomorskie,2006876,pracownia rezonansu magnetycznego,100344,50,21,0.1
2022,kujawsko-pomorskie,2006876,pracownia tomografii komputerowej,66315,33.04,30,0.15
2022,kujawsko-pomorskie,2006876,pracownia usg,706,0.35,2,0.01
2022,lubelskie,2024637,poradnia alergologiczna,102567,50.66,41,0.2
2022,lubelskie,2024637,poradnia alergologiczna dla dzieci,29843,14.74,11,0.05
2022,lubelskie,2024637,poradnia audiologiczna,8664,4.28,8,0.04
2022,lubelskie,2024637,poradnia audiologiczna dla dzieci,1464,0.72,1,0
2022,lubelskie,2024637,poradnia chemioterapii,3176,1.57,1,0
2022,lubelskie,2024637,poradnia chirurgii klatki piersiowej,1999,0.99,1,0
2022,lubelskie,2024637,poradnia chirurgii naczyniowej,28000,13.83,11,0.05
2022,lubelskie,2024637,poradnia chirurgii ogólnej,291117,143.79,56,0.28
2022,lubelskie,2024637,poradnia chirurgii ogólnej dla dzieci,33083,16.34,8,0.04
2022,lubelskie,2024637,poradnia chirurgii onkologicznej,28934,14.29,7,0.03
2022,lubelskie,2024637,poradnia chirurgii onkologicznej dla dzieci,1,0,1,0
2022,lubelskie,2024637,poradnia chirurgii plastycznej,6769,3.34,2,0.01
2022,lubelskie,2024637,poradnia chirurgii szczękowo-twarzowej,8394,4.15,3,0.01
2022,lubelskie,2024637,poradnia chirurgii urazowo-ortopedycznej,380577,187.97,54,0.27
2022,lubelskie,2024637,poradnia chirurgii urazowo-ortopedycznej dla dzieci,34256,16.92,7,0.03
2022,lubelskie,2024637,poradnia chorób metabolicznych,4794,2.37,2,0.01
2022,lubelskie,2024637,poradnia chorób naczyń,792,0.39,1,0
2022,lubelskie,2024637,poradnia chorób płuc,54223,26.78,22,0.11
2022,lubelskie,2024637,poradnia chorób płuc dla dzieci,6949,3.43,2,0.01
2022,lubelskie,2024637,poradnia chorób wewnętrznych,447,0.22,10,0.05
2022,lubelskie,2024637,poradnia chorób zakaźnych,24188,11.95,9,0.04
2022,lubelskie,2024637,poradnia chorób zakaźnych dla dzieci,1946,0.96,2,0.01
2022,lubelskie,2024637,poradnia dermatologiczna,250328,123.64,61,0.3
2022,lubelskie,2024637,poradnia diabetologiczna,116644,57.61,41,0.2
2022,lubelskie,2024637,poradnia diabetologiczna dla dzieci,2058,1.02,3,0.01
2022,lubelskie,2024637,poradnia endokrynologiczna,175868,86.86,41,0.2
2022,lubelskie,2024637,poradnia endokrynologiczna dla dzieci,6950,3.43,4,0.02
2022,lubelskie,2024637,poradnia endokrynologiczno-ginekologiczna,1913,0.94,3,0.01
2022,lubelskie,2024637,poradnia foniatryczna,9743,4.81,8,0.04
2022,lubelskie,2024637,poradnia foniatryczna dla dzieci,1262,0.62,1,0
2022,lubelskie,2024637,poradnia gastroenterologiczna,57361,28.33,22,0.11
2022,lubelskie,2024637,poradnia gastroenterologiczna dla dzieci,1472,0.73,2,0.01
2022,lubelskie,2024637,poradnia genetyczna,6343,3.13,5,0.02
2022,lubelskie,2024637,poradnia geriatryczna,1597,0.79,5,0.02
2022,lubelskie,2024637,poradnia ginekologiczna,26579,13.13,7,0.03
2022,lubelskie,2024637,poradnia ginekologiczna dla dziewcząt,2203,1.09,1,0
2022,lubelskie,2024637,poradnia ginekologii onkologicznej,18620,9.2,2,0.01
2022,lubelskie,2024637,poradnia gruźlicy i chorób płuc,101616,50.19,25,0.12
2022,lubelskie,2024637,poradnia gruźlicy i chorób płuc dla dzieci,6498,3.21,5,0.02
2022,lubelskie,2024637,poradnia hematologiczna,36732,18.14,12,0.06
2022,lubelskie,2024637,poradnia hepatologiczna,6665,3.29,4,0.02
2022,lubelskie,2024637,poradnia immunologiczna,3178,1.57,1,0
2022,lubelskie,2024637,poradnia immunologiczna dla dzieci,552,0.27,1,0
2022,lubelskie,2024637,poradnia kardiochirurgiczna,3046,1.5,2,0.01
2022,lubelskie,2024637,poradnia kardiologiczna,309466,152.85,64,0.32
2022,lubelskie,2024637,poradnia kardiologiczna dla dzieci,8862,4.38,4,0.02
2022,lubelskie,2024637,poradnia leczenia bólu,9598,4.74,9,0.04
2022,lubelskie,2024637,poradnia leczenia zeza,6581,3.25,3,0.01
2022,lubelskie,2024637,poradnia logopedyczna,115367,56.98,44,0.22
2022,lubelskie,2024637,poradnia logopedyczna dla dzieci,4242,2.1,2,0.01
2022,lubelskie,2024637,poradnia medycyny sportowej,7429,3.67,9,0.04
2022,lubelskie,2024637,poradnia nadciśnienia tętniczego,3046,1.5,3,0.01
2022,lubelskie,2024637,poradnia nefrologiczna,21444,10.59,13,0.06
2022,lubelskie,2024637,poradnia nefrologiczna dla dzieci,2600,1.28,3,0.01
2022,lubelskie,2024637,poradnia neonatologiczna,7025,3.47,10,0.05
2022,lubelskie,2024637,poradnia neurochirurgiczna,9324,4.61,5,0.02
2022,lubelskie,2024637,poradnia neurologiczna,362418,179,92,0.45
2022,lubelskie,2024637,poradnia neurologiczna dla dzieci,20634,10.19,7,0.03
2022,lubelskie,2024637,poradnia okulistyczna,448211,221.38,86,0.42
2022,lubelskie,2024637,poradnia okulistyczna dla dzieci,20271,10.01,7,0.03
2022,lubelskie,2024637,poradnia onkologiczna,76906,37.99,15,0.07
2022,lubelskie,2024637,poradnia onkologii i hematologii dziecięcej,3962,1.96,1,0
2022,lubelskie,2024637,poradnia osteoporozy,8586,4.24,4,0.02
2022,lubelskie,2024637,poradnia otorynolaryngologiczna,187733,92.72,60,0.3
2022,lubelskie,2024637,poradnia otorynolaryngologiczna dla dzieci,24642,12.17,9,0.04
2022,lubelskie,2024637,poradnia pediatryczna,978,0.48,5,0.02
2022,lubelskie,2024637,poradnia położniczo-ginekologiczna,361918,178.76,93,0.46
2022,lubelskie,2024637,poradnia preluksacyjna,17491,8.64,15,0.07
2022,lubelskie,2024637,poradnia profilaktyczno-lecznicza (hiv/aids),1408,0.7,1,0
2022,lubelskie,2024637,poradnia profilaktyki chorób piersi,12185,6.02,2,0.01
2022,lubelskie,2024637,poradnia proktologiczna,10362,5.12,6,0.03
2022,lubelskie,2024637,poradnia radioterapii,4242,2.1,1,0
2022,lubelskie,2024637,poradnia reumatologiczna,109542,54.1,46,0.23
2022,lubelskie,2024637,poradnia reumatologiczna dla dzieci,1021,0.5,1,0
2022,lubelskie,2024637,poradnia toksykologiczna,58,0.03,1,0
2022,lubelskie,2024637,poradnia transplantologiczna,3691,1.82,3,0.01
2022,lubelskie,2024637,poradnia urologiczna,139390,68.85,40,0.2
2022,lubelskie,2024637,poradnia urologiczna dla dzieci,1968,0.97,1,0
2022,lubelskie,2024637,poradnia wad postawy,2497,1.23,3,0.01
2022,lubelskie,2024637,poradnia wad serca,20,0.01,1,0
2022,lubelskie,2024637,pracownia endoskopii,49455,24.43,41,0.2
2022,lubelskie,2024637,pracownia genetyczna,1,0,1,0
2022,lubelskie,2024637,pracownia lub zakład medycyny nuklearnej,5342,2.64,3,0.01
2022,lubelskie,2024637,pracownia rentgenodiagnostyki ogólnej,1430,0.71,1,0
2022,lubelskie,2024637,pracownia rezonansu magnetycznego,123153,60.83,28,0.14
2022,lubelskie,2024637,pracownia tomografii komputerowej,102207,50.48,36,0.18
2022,lubuskie,979976,mobilna pracownia badań diagnostycznych,4694,4.79,1,0.01
2022,lubuskie,979976,oddział leczenia jednego dnia,2438,2.49,1,0.01
2022,lubuskie,979976,poradnia alergologiczna,78837,80.45,13,0.13
2022,lubuskie,979976,poradnia alergologiczna dla dzieci,6203,6.33,1,0.01
2022,lubuskie,979976,poradnia audiologiczna,5815,5.93,3,0.03
2022,lubuskie,979976,poradnia chirurgii klatki piersiowej,1871,1.91,1,0.01
2022,lubuskie,979976,poradnia chirurgii naczyniowej,5956,6.08,2,0.02
2022,lubuskie,979976,poradnia chirurgii ogólnej,165117,168.49,31,0.32
2022,lubuskie,979976,poradnia chirurgii ogólnej dla dzieci,35710,36.44,4,0.04
2022,lubuskie,979976,poradnia chirurgii onkologicznej,10743,10.96,6,0.06
2022,lubuskie,979976,poradnia chirurgii plastycznej,2944,3,1,0.01
2022,lubuskie,979976,poradnia chirurgii szczękowo-twarzowej,766,0.78,1,0.01
2022,lubuskie,979976,poradnia chirurgii urazowo-ortopedycznej,139813,142.67,26,0.27
2022,lubuskie,979976,poradnia chirurgii urazowo-ortopedycznej dla dzieci,5326,5.43,1,0.01
2022,lubuskie,979976,poradnia chorób naczyń,8452,8.62,3,0.03
2022,lubuskie,979976,poradnia chorób płuc,15372,15.69,8,0.08
2022,lubuskie,979976,poradnia chorób płuc dla dzieci,3804,3.88,2,0.02
2022,lubuskie,979976,poradnia chorób zakaźnych,6470,6.6,3,0.03
2022,lubuskie,979976,poradnia dermatologiczna,68737,70.14,24,0.24
2022,lubuskie,979976,poradnia diabetologiczna,32024,32.68,15,0.15
2022,lubuskie,979976,poradnia diabetologiczna dla dzieci,2485,2.54,2,0.02
2022,lubuskie,979976,poradnia endokrynologiczna,38263,39.04,13,0.13
2022,lubuskie,979976,poradnia endokrynologiczna dla dzieci,1063,1.08,1,0.01
2022,lubuskie,979976,poradnia endokrynologii i diabetologii dziecięcej,2619,2.67,1,0.01
2022,lubuskie,979976,poradnia gastroenterologiczna,14799,15.1,12,0.12
2022,lubuskie,979976,poradnia genetyczna,2331,2.38,2,0.02
2022,lubuskie,979976,poradnia geriatryczna,1316,1.34,3,0.03
2022,lubuskie,979976,poradnia ginekologiczna,4714,4.81,5,0.05
2022,lubuskie,979976,poradnia gruźlicy i chorób płuc,29406,30.01,10,0.1
2022,lubuskie,979976,poradnia gruźlicy i chorób płuc dla dzieci,1480,1.51,1,0.01
2022,lubuskie,979976,poradnia hematologiczna,14383,14.68,4,0.04
2022,lubuskie,979976,poradnia kardiochirurgiczna,2130,2.17,1,0.01
2022,lubuskie,979976,poradnia kardiologiczna,110679,112.94,30,0.31
2022,lubuskie,979976,poradnia kardiologiczna dla dzieci,11168,11.4,3,0.03
2022,lubuskie,979976,poradnia leczenia bólu,4800,4.9,4,0.04
2022,lubuskie,979976,poradnia leczenia zeza,5535,5.65,2,0.02
2022,lubuskie,979976,poradnia logopedyczna,36795,37.55,20,0.2
2022,lubuskie,979976,poradnia logopedyczna dla dzieci,5131,5.24,3,0.03
2022,lubuskie,979976,poradnia medycyny sportowej,10868,11.09,6,0.06
2022,lubuskie,979976,poradnia nefrologiczna,12374,12.63,6,0.06
2022,lubuskie,979976,poradnia nefrologiczna dla dzieci,1139,1.16,1,0.01
2022,lubuskie,979976,poradnia neonatologiczna,1729,1.76,3,0.03
2022,lubuskie,979976,poradnia neurochirurgiczna,14493,14.79,3,0.03
2022,lubuskie,979976,poradnia neurologiczna,104598,106.74,32,0.33
2022,lubuskie,979976,poradnia neurologiczna dla dzieci,10141,10.35,4,0.04
2022,lubuskie,979976,poradnia okulistyczna,126002,128.58,29,0.3
2022,lubuskie,979976,poradnia okulistyczna dla dzieci,6712,6.85,2,0.02
2022,lubuskie,979976,poradnia onkologiczna,56341,57.49,13,0.13
2022,lubuskie,979976,poradnia onkologii i hematologii dziecięcej,804,0.82,1,0.01
2022,lubuskie,979976,poradnia osteoporozy,2679,2.73,1,0.01
2022,lubuskie,979976,poradnia otorynolaryngologiczna,85128,86.87,33,0.34
2022,lubuskie,979976,poradnia otorynolaryngologiczna dla dzieci,1278,1.3,1,0.01
2022,lubuskie,979976,poradnia położniczo-ginekologiczna,187663,191.5,56,0.57
2022,lubuskie,979976,poradnia preluksacyjna,6517,6.65,10,0.1
2022,lubuskie,979976,poradnia profilaktyczno-lecznicza (hiv/aids),1092,1.11,1,0.01
2022,lubuskie,979976,poradnia proktologiczna,2346,2.39,3,0.03
2022,lubuskie,979976,poradnia reumatologiczna,15353,15.67,11,0.11
2022,lubuskie,979976,poradnia transplantologiczna,103,0.11,1,0.01
2022,lubuskie,979976,poradnia urologiczna,88393,90.2,24,0.24
2022,lubuskie,979976,poradnia urologiczna dla dzieci,5414,5.52,3,0.03
2022,lubuskie,979976,poradnia wad postawy,4805,4.9,2,0.02
2022,lubuskie,979976,pracownia endoskopii,28950,29.54,20,0.2
2022,lubuskie,979976,pracownia lub zakład medycyny nuklearnej,3968,4.05,2,0.02
2022,lubuskie,979976,pracownia rentgenodiagnostyki ogólnej,7716,7.87,1,0.01
2022,lubuskie,979976,pracownia rentgenodiagnostyki zabiegowej/pracownia radiologii zabiegowej,18053,18.42,1,0.01
2022,lubuskie,979976,pracownia rezonansu magnetycznego,24809,25.32,4,0.04
2022,lubuskie,979976,pracownia tomografii komputerowej,24596,25.1,12,0.12
2022,lubuskie,979976,pracownia usg,866,0.88,1,0.01
2022,mazowieckie,5510612,dział (pracownia) fizjoterapii,2,0,1,0
